date,state,location,so2,no2,rspm,spm,pm2_5
1990-02-01,Andhra Pradesh,Hyderabad,4.8,17.4,,224.63333154015817,
1990-02-01,Andhra Pradesh,Hyderabad,3.1,7.0,,224.63333154015817,
1990-02-01,Andhra Pradesh,Hyderabad,6.2,28.5,,224.63333154015817,
1990-03-01,Andhra Pradesh,Hyderabad,6.3,14.7,,224.63333154015817,
1990-03-01,Andhra Pradesh,Hyderabad,4.7,7.5,,224.63333154015817,
1990-03-01,Andhra Pradesh,Hyderabad,6.4,25.7,,224.63333154015817,
1990-04-01,Andhra Pradesh,Hyderabad,5.4,17.1,,224.63333154015817,
1990-04-01,Andhra Pradesh,Hyderabad,4.7,8.7,,224.63333154015817,
1990-04-01,Andhra Pradesh,Hyderabad,4.2,23.0,,224.63333154015817,
1990-05-01,Andhra Pradesh,Hyderabad,4.0,8.9,,224.63333154015817,
1990-05-01,Andhra Pradesh,Hyderabad,3.6,18.6,,224.63333154015817,
1990-06-01,Andhra Pradesh,Hyderabad,3.9,14.1,,133.0,
1990-06-01,Andhra Pradesh,Hyderabad,5.6,11.8,,82.0,
1990-06-01,Andhra Pradesh,Hyderabad,3.3,19.3,,111.0,
1990-07-01,Andhra Pradesh,Hyderabad,3.9,8.2,,118.0,
1990-07-01,Andhra Pradesh,Hyderabad,3.5,12.1,,135.0,
1990-07-01,Andhra Pradesh,Hyderabad,7.9,10.2,,80.0,
1990-08-01,Andhra Pradesh,Hyderabad,4.0,9.9,,179.0,
1990-08-01,Andhra Pradesh,Hyderabad,12.4,11.5,,58.0,
1990-08-01,Andhra Pradesh,Hyderabad,4.0,12.3,,99.0,
1990-09-01,Andhra Pradesh,Hyderabad,6.3,11.5,,270.0,
1990-09-01,Andhra Pradesh,Hyderabad,44.8,13.7,,97.0,
1990-09-01,Andhra Pradesh,Hyderabad,8.1,17.8,,167.0,
1990-10-01,Andhra Pradesh,Hyderabad,7.7,11.3,,145.0,
1990-10-01,Andhra Pradesh,Hyderabad,20.6,13.6,,75.0,
1990-10-01,Andhra Pradesh,Hyderabad,20.4,27.5,,212.0,
1990-11-01,Andhra Pradesh,Hyderabad,13.9,7.2,,93.0,
1990-11-01,Andhra Pradesh,Hyderabad,11.2,18.6,,61.0,
1990-11-01,Andhra Pradesh,Hyderabad,22.3,35.9,,255.0,
1991-01-01,Andhra Pradesh,Hyderabad,24.5,28.0,,197.0,
1991-01-01,Andhra Pradesh,Hyderabad,7.2,10.4,,148.0,
1991-01-01,Andhra Pradesh,Hyderabad,28.7,16.2,,77.0,
1991-02-01,Andhra Pradesh,Hyderabad,18.7,42.2,,125.0,
1991-02-01,Andhra Pradesh,Hyderabad,24.5,18.0,,330.0,
1991-02-01,Andhra Pradesh,Hyderabad,20.4,12.6,,93.0,
1991-03-01,Andhra Pradesh,Hyderabad,5.2,41.3,,287.0,
1991-03-01,Andhra Pradesh,Hyderabad,7.5,12.2,,241.0,
1991-03-01,Andhra Pradesh,Hyderabad,4.8,8.4,,85.0,
1991-04-01,Andhra Pradesh,Hyderabad,8.5,48.5,,224.63333154015817,
1991-04-01,Andhra Pradesh,Hyderabad,9.7,12.4,,283.0,
1991-04-01,Andhra Pradesh,Hyderabad,21.2,11.5,,108.0,
1991-05-01,Andhra Pradesh,Hyderabad,4.9,15.3,,234.0,
1991-05-01,Andhra Pradesh,Hyderabad,17.7,14.0,,121.0,
1991-05-01,Andhra Pradesh,Hyderabad,12.3,38.6,,219.0,
1991-06-01,Andhra Pradesh,Hyderabad,3.5,11.9,,179.0,
1991-06-01,Andhra Pradesh,Hyderabad,3.1,7.5,,84.0,
1991-06-01,Andhra Pradesh,Hyderabad,3.0,19.0,,154.0,
1991-07-01,Andhra Pradesh,Hyderabad,6.2,10.0,,150.0,
1991-07-01,Andhra Pradesh,Hyderabad,7.9,9.2,,67.0,
1991-07-01,Andhra Pradesh,Hyderabad,6.5,17.3,,128.0,
1991-08-01,Andhra Pradesh,Hyderabad,8.5,12.5,,119.0,
1991-08-01,Andhra Pradesh,Hyderabad,7.8,9.8,,71.0,
1991-08-01,Andhra Pradesh,Hyderabad,6.5,12.6,,98.0,
1991-09-01,Andhra Pradesh,Hyderabad,6.6,12.7,,172.0,
1991-09-01,Andhra Pradesh,Hyderabad,13.3,11.9,,56.0,
1991-09-01,Andhra Pradesh,Hyderabad,6.0,23.4,,120.0,
1991-10-01,Andhra Pradesh,Hyderabad,8.5,15.5,,135.0,
1991-10-01,Andhra Pradesh,Hyderabad,12.3,12.2,,83.0,
1991-10-01,Andhra Pradesh,Hyderabad,6.2,25.7,,158.0,
1991-11-01,Andhra Pradesh,Hyderabad,8.0,8.3,,163.0,
1991-11-01,Andhra Pradesh,Hyderabad,14.6,12.9,,103.0,
1991-11-01,Andhra Pradesh,Hyderabad,18.8,39.0,,232.0,
1991-12-01,Andhra Pradesh,Hyderabad,8.9,11.4,,149.0,
1991-12-01,Andhra Pradesh,Hyderabad,11.2,18.4,,129.0,
1991-12-01,Andhra Pradesh,Hyderabad,6.0,47.0,,242.0,
1992-01-01,Andhra Pradesh,Hyderabad,20.0,64.6,,353.0,
1992-01-01,Andhra Pradesh,Hyderabad,14.6,4.4,,190.0,
1992-01-01,Andhra Pradesh,Hyderabad,35.8,12.5,,261.0,
1992-01-01,Andhra Pradesh,Vishakhapatnam,52.6,89.6,,679.0,
1992-01-01,Andhra Pradesh,Vishakhapatnam,55.8,33.8,,245.0,
1992-01-01,Andhra Pradesh,Vishakhapatnam,33.4,31.7,,320.0,
1992-01-01,Andhra Pradesh,Vishakhapatnam,43.6,30.8,,334.0,
1992-01-01,Andhra Pradesh,Hyderabad,6.0,34.1,,271.0,
1992-01-01,Andhra Pradesh,Hyderabad,12.9,14.7,,180.0,
1992-01-01,Andhra Pradesh,Hyderabad,24.5,11.5,,118.0,
1992-02-01,Andhra Pradesh,Hyderabad,13.0,66.5,,241.0,
1992-02-01,Andhra Pradesh,Hyderabad,8.4,21.4,,129.0,
1992-02-01,Andhra Pradesh,Hyderabad,12.8,30.9,,171.0,
1992-02-01,Andhra Pradesh,Vishakhapatnam,32.9,144.8,,555.0,
1992-02-01,Andhra Pradesh,Vishakhapatnam,24.3,18.7,,201.0,
1992-02-01,Andhra Pradesh,Vishakhapatnam,36.1,18.1,,250.0,
1992-02-01,Andhra Pradesh,Vishakhapatnam,34.5,21.0,,227.0,
1992-02-01,Andhra Pradesh,Hyderabad,8.8,9.7,,171.0,
1992-02-01,Andhra Pradesh,Hyderabad,14.4,10.4,,122.0,
1992-02-01,Andhra Pradesh,Hyderabad,14.1,37.8,,248.0,
1992-03-01,Andhra Pradesh,Hyderabad,24.9,61.0,,276.0,
1992-03-01,Andhra Pradesh,Hyderabad,12.0,23.0,,134.0,
1992-03-01,Andhra Pradesh,Hyderabad,12.6,29.2,,135.0,
1992-03-01,Andhra Pradesh,Vishakhapatnam,136.1,162.2,,433.0,
1992-03-01,Andhra Pradesh,Vishakhapatnam,67.4,127.7,,215.0,
1992-03-01,Andhra Pradesh,Vishakhapatnam,32.7,28.0,,253.0,
1992-03-01,Andhra Pradesh,Vishakhapatnam,90.0,26.2,,262.0,
1992-03-01,Andhra Pradesh,Hyderabad,22.4,10.2,,159.0,
1992-03-01,Andhra Pradesh,Hyderabad,14.1,20.8,,179.0,
1992-03-01,Andhra Pradesh,Hyderabad,12.4,38.0,,267.0,
1992-04-01,Andhra Pradesh,Hyderabad,7.8,32.3,,229.0,
1992-04-01,Andhra Pradesh,Hyderabad,11.6,39.6,,147.0,
1992-04-01,Andhra Pradesh,Vishakhapatnam,44.6,122.4,,418.0,
1992-04-01,Andhra Pradesh,Vishakhapatnam,94.3,47.3,,208.0,
1992-04-01,Andhra Pradesh,Vishakhapatnam,17.2,21.7,,216.0,
